PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,Cabin
48.0,3.0,"O'Driscoll, Miss. Bridget",female,,0.0,0.0,7.75,Q,1.0,
49.0,3.0,"Samaan, Mr. Youssef",male,,2.0,0.0,21.6792,C,0.0,
50.0,3.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1.0,0.0,17.8,S,0.0,
51.0,3.0,"Panula, Master. Juha Niilo",male,7.0,4.0,1.0,39.6875,S,0.0,
52.0,3.0,"Nosworthy, Mr. Richard Cater",male,21.0,0.0,0.0,7.8,S,0.0,
53.0,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1.0,0.0,76.7292,C,1.0,D33
54.0,2.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1.0,0.0,26.0,S,1.0,
55.0,1.0,"Ostby, Mr. Engelhart Cornelius",male,65.0,0.0,1.0,61.9792,C,0.0,B30
56.0,1.0,"Woolner, Mr. Hugh",male,,0.0,0.0,35.5,S,1.0,C52
57.0,2.0,"Rugg, Miss. Emily",female,21.0,0.0,0.0,10.5,S,1.0,
58.0,3.0,"Novel, Mr. Mansouer",male,28.5,0.0,0.0,7.2292,C,0.0,
59.0,2.0,"West, Miss. Constance Mirium",female,5.0,1.0,2.0,27.75,S,1.0,
60.0,3.0,"Goodwin, Master. William Frederick",male,11.0,5.0,2.0,46.9,S,0.0,
61.0,3.0,"Sirayanian, Mr. Orsen",male,22.0,0.0,0.0,7.2292,C,0.0,
62.0,1.0,"Icard, Miss. Amelie",female,38.0,0.0,0.0,80.0,,1.0,B28
63.0,1.0,"Harris, Mr. Henry Birkhardt",male,45.0,1.0,0.0,83.475,S,0.0,C83
64.0,3.0,"Skoog, Master. Harald",male,4.0,3.0,2.0,27.9,S,0.0,
65.0,1.0,"Stewart, Mr. Albert A",male,,0.0,0.0,27.7208,C,0.0,
66.0,3.0,"Moubarek, Master. Gerios",male,,1.0,1.0,15.2458,C,1.0,
67.0,2.0,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0.0,0.0,10.5,S,1.0,F33
68.0,3.0,"Crease, Mr. Ernest James",male,19.0,0.0,0.0,8.1583,S,0.0,
69.0,3.0,"Andersson, Miss. Erna Alexandra",female,17.0,,2.0,7.925,S,1.0,
70.0,3.0,"Kink, Mr. Vincenz",male,26.0,2.0,0.0,8.6625,S,0.0,
71.0,2.0,"Jenkin, Mr. Stephen Curnow",male,32.0,0.0,0.0,10.5,,0.0,
72.0,3.0,"Goodwin, Miss. Lillian Amy",female,16.0,5.0,2.0,46.9,S,0.0,
73.0,2.0,"Hood, Mr. Ambrose Jr",male,21.0,0.0,0.0,73.5,S,0.0,
74.0,3.0,"Chronopoulos, Mr. Apostolos",male,26.0,1.0,0.0,14.4542,C,0.0,
75.0,3.0,"Bing, Mr. Lee",male,32.0,0.0,0.0,56.4958,S,1.0,
76.0,3.0,"Moen, Mr. Sigurd Hansen",male,25.0,0.0,0.0,7.65,S,0.0,F G73
77.0,3.0,"Staneff, Mr. Ivan",male,,0.0,0.0,,S,0.0,
78.0,3.0,"Moutal, Mr. Rahamin Haim",male,,0.0,0.0,8.05,S,0.0,
79.0,2.0,"Caldwell, Master. Alden Gates",male,0.83,0.0,2.0,29.0,S,1.0,
80.0,3.0,"Dowdell, Miss. Elizabeth",female,30.0,0.0,0.0,12.475,,1.0,
81.0,3.0,"Waelens, Mr. Achille",male,22.0,0.0,,9.0,S,0.0,
82.0,3.0,"Sheerlinck, Mr. Jan Baptist",male,29.0,0.0,0.0,9.5,S,1.0,
83.0,3.0,"McDermott, Miss. Brigdet Delia",female,,0.0,,7.7875,Q,1.0,
84.0,1.0,"Carrau, Mr. Francisco M",male,28.0,0.0,0.0,47.1,S,0.0,
85.0,2.0,"Ilett, Miss. Bertha",female,17.0,0.0,0.0,10.5,S,1.0,
86.0,3.0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3.0,0.0,15.85,S,1.0,
87.0,3.0,"Ford, Mr. William Neal",,16.0,1.0,3.0,34.375,S,0.0,
88.0,3.0,"Slocovski, Mr. Selman Francis",male,,0.0,0.0,8.05,S,0.0,
89.0,1.0,"Fortune, Miss. Mabel Helen",female,23.0,3.0,2.0,263.0,S,1.0,C23 C25 C27
90.0,3.0,"Celotti, Mr. Francesco",male,24.0,0.0,0.0,8.05,S,0.0,
91.0,3.0,"Christmann, Mr. Emil",male,29.0,0.0,0.0,8.05,S,0.0,
92.0,3.0,"Andreasson, Mr. Paul Edvin",male,20.0,0.0,0.0,7.8542,S,0.0,
93.0,1.0,"Chaffee, Mr. Herbert Fuller",male,46.0,1.0,0.0,61.175,S,0.0,E31
94.0,3.0,"Dean, Mr. Bertram Frank",male,26.0,1.0,2.0,20.575,S,0.0,
,3.0,"Coxon, Mr. Daniel",male,59.0,0.0,0.0,7.25,S,0.0,
96.0,3.0,"Shorney, Mr. Charles Joseph",male,,0.0,0.0,8.05,S,0.0,
97.0,1.0,"Goldschmidt, Mr. George B",male,71.0,0.0,0.0,34.6542,C,0.0,A5
98.0,1.0,"Greenfield, Mr. William Bertram",male,23.0,0.0,1.0,63.3583,C,1.0,D10 D12
99.0,2.0,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0.0,1.0,23.0,S,1.0,
100.0,2.0,"Kantor, Mr. Sinai",male,34.0,1.0,0.0,26.0,S,0.0,
101.0,3.0,"Petranec, Miss. Matilda",female,28.0,0.0,0.0,7.8958,S,0.0,
102.0,3.0,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0.0,0.0,7.8958,S,0.0,
103.0,1.0,"White, Mr. Richard Frasar",male,21.0,0.0,1.0,77.2875,S,0.0,D26
104.0,3.0,"Johansson, Mr. Gustaf Joel",male,33.0,0.0,0.0,8.6542,S,0.0,
105.0,3.0,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2.0,0.0,7.925,S,0.0,
106.0,3.0,"Mionoff, Mr. Stoytcho",male,28.0,0.0,0.0,7.8958,S,0.0,
107.0,3.0,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0.0,0.0,7.65,S,1.0,
108.0,3.0,"Moss, Mr. Albert Johan",male,,0.0,0.0,7.775,S,1.0,
109.0,3.0,"Rekic, Mr. Tido",male,38.0,0.0,0.0,7.8958,S,0.0,
110.0,3.0,"Moran, Miss. Bertha",female,,1.0,0.0,24.15,Q,1.0,
111.0,1.0,"Porter, Mr. Walter Chamberlain",male,47.0,0.0,0.0,52.0,S,0.0,C110
112.0,3.0,"Zabour, Miss. Hileni",female,14.5,1.0,0.0,14.4542,C,0.0,
113.0,3.0,"Barton, Mr. David John",male,22.0,0.0,,8.05,S,0.0,
114.0,3.0,"Jussila, Miss. Katriina",female,20.0,1.0,0.0,9.825,S,0.0,
115.0,3.0,"Attalah, Miss. Malake",female,17.0,0.0,0.0,14.4583,C,0.0,
116.0,3.0,"Pekoniemi, Mr. Edvard",male,21.0,0.0,0.0,7.925,S,0.0,
117.0,3.0,"Connors, Mr. Patrick",male,70.5,0.0,0.0,7.75,Q,0.0,
118.0,2.0,"Turpin, Mr. William John Robert",male,29.0,1.0,0.0,21.0,S,0.0,
119.0,1.0,"Baxter, Mr. Quigg Edmond",male,24.0,0.0,1.0,247.5208,C,0.0,B58 B60
120.0,3.0,"Andersson, Miss. Ellis Anna Maria",female,2.0,4.0,2.0,31.275,S,0.0,
121.0,2.0,"Hickman, Mr. Stanley George",male,21.0,2.0,0.0,73.5,S,0.0,
122.0,3.0,"Moore, Mr. Leonard Charles",male,,0.0,0.0,8.05,S,0.0,
123.0,2.0,"Nasser, Mr. Nicholas",male,32.5,1.0,0.0,30.0708,C,0.0,
124.0,2.0,"Webber, Miss. Susan",female,32.5,0.0,0.0,13.0,S,1.0,E101
125.0,1.0,"White, Mr. Percival Wayland",male,54.0,0.0,1.0,77.2875,S,0.0,D26
126.0,3.0,"Nicola-Yarred, Master. Elias",male,12.0,1.0,0.0,11.2417,C,1.0,
127.0,3.0,"McMahon, Mr. Martin",male,,0.0,0.0,7.75,Q,0.0,
128.0,3.0,"Madsen, Mr. Fridtjof Arne",male,24.0,0.0,0.0,7.1417,S,1.0,
129.0,3.0,"Peter, Miss. Anna",female,,1.0,1.0,22.3583,C,1.0,F E69
130.0,3.0,"Ekstrom, Mr. Johan",male,45.0,0.0,0.0,6.975,S,0.0,
131.0,3.0,"Drazenoic, Mr. Jozef",male,33.0,0.0,0.0,7.8958,C,0.0,
132.0,3.0,"Coelho, Mr. Domingos Fernandeo",male,20.0,0.0,0.0,7.05,S,0.0,
133.0,3.0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1.0,0.0,14.5,S,0.0,
134.0,2.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1.0,0.0,26.0,S,1.0,
135.0,2.0,"Sobey, Mr. Samuel James Hayden",male,25.0,0.0,0.0,13.0,S,0.0,
136.0,2.0,"Richard, Mr. Emile",male,23.0,0.0,0.0,15.0458,C,0.0,
137.0,1.0,"Newsom, Miss. Helen Monypeny",female,19.0,0.0,2.0,26.2833,S,1.0,D47
138.0,1.0,"Futrelle, Mr. Jacques Heath",male,37.0,1.0,0.0,53.1,S,0.0,C123
139.0,3.0,"Osen, Mr. Olaf Elon",male,16.0,0.0,0.0,9.2167,S,0.0,
140.0,1.0,"Giglio, Mr. Victor",male,24.0,0.0,0.0,79.2,C,0.0,B86
141.0,3.0,"Boulos, Mrs. Joseph (Sultana)",female,,0.0,2.0,15.2458,C,0.0,
142.0,3.0,"Nysten, Miss. Anna Sofia",female,22.0,0.0,0.0,7.75,S,1.0,
143.0,3.0,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1.0,0.0,15.85,S,1.0,
144.0,3.0,"Burke, Mr. Jeremiah",male,19.0,0.0,0.0,6.75,Q,,
145.0,2.0,"Andrew, Mr. Edgardo Samuel",male,18.0,0.0,0.0,11.5,S,0.0,
146.0,2.0,"Nicholls, Mr. Joseph Charles",male,19.0,1.0,1.0,36.75,S,0.0,
147.0,3.0,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0.0,0.0,7.7958,S,1.0,
148.0,3.0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2.0,2.0,34.375,,0.0,
149.0,2.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,,0.0,2.0,26.0,S,0.0,F2
150.0,2.0,"Byles, Rev. Thomas Roussel Davids",male,42.0,0.0,0.0,13.0,S,0.0,
151.0,2.0,"Bateman, Rev. Robert James",male,51.0,0.0,0.0,12.525,S,0.0,
152.0,1.0,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1.0,0.0,66.6,S,1.0,C2
153.0,3.0,"Meo, Mr. Alfonzo",male,55.5,0.0,0.0,8.05,S,0.0,
154.0,3.0,"van Billiard, Mr. Austin Blyler",male,40.5,0.0,2.0,14.5,S,0.0,
155.0,3.0,"Olsen, Mr. Ole Martin",male,,0.0,0.0,7.3125,S,0.0,
156.0,1.0,"Williams, Mr. Charles Duane",male,51.0,0.0,1.0,61.3792,C,0.0,
157.0,3.0,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0.0,0.0,7.7333,Q,1.0,
158.0,3.0,"Corn, Mr. Harry",male,30.0,0.0,0.0,8.05,S,0.0,
159.0,3.0,"Smiljanic, Mr. Mile",male,,0.0,0.0,8.6625,S,0.0,
160.0,3.0,"Sage, Master. Thomas Henry",male,,8.0,2.0,69.55,S,0.0,
161.0,3.0,"Cribb, Mr. John Hatfield",male,44.0,0.0,1.0,16.1,S,0.0,
162.0,2.0,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0.0,0.0,15.75,S,1.0,
163.0,3.0,"Bengtsson, Mr. John Viktor",male,26.0,0.0,0.0,7.775,S,0.0,
164.0,3.0,"Calic, Mr. Jovo",male,17.0,0.0,0.0,8.6625,S,0.0,
165.0,3.0,"Panula, Master. Eino Viljami",male,1.0,4.0,1.0,39.6875,S,0.0,
166.0,3.0,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0.0,2.0,20.525,S,1.0,
167.0,1.0,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0.0,1.0,55.0,S,1.0,E33
168.0,3.0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1.0,4.0,27.9,S,0.0,
169.0,1.0,"Baumann, Mr. John D",male,,0.0,0.0,25.925,S,0.0,
170.0,3.0,"Ling, Mr. Lee",male,28.0,0.0,0.0,56.4958,S,0.0,
171.0,1.0,"Van der hoef, Mr. Wyckoff",male,61.0,0.0,0.0,33.5,S,0.0,B19
172.0,3.0,"Rice, Master. Arthur",male,4.0,4.0,1.0,29.125,Q,0.0,
173.0,3.0,"Johnson, Miss. Eleanor Ileen",female,1.0,1.0,1.0,11.1333,S,1.0,
174.0,3.0,"Sivola, Mr. Antti Wilhelm",male,21.0,0.0,0.0,7.925,S,0.0,
175.0,1.0,"Smith, Mr. James Clinch",male,56.0,0.0,0.0,30.6958,C,0.0,A7
176.0,3.0,"Klasen, Mr. Klas Albin",male,18.0,1.0,1.0,7.8542,S,0.0,
177.0,3.0,"Lefebre, Master. Henry Forbes",male,,3.0,1.0,25.4667,S,0.0,
178.0,1.0,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,0.0,28.7125,C,0.0,C49
179.0,2.0,"Hale, Mr. Reginald",male,30.0,0.0,0.0,13.0,S,0.0,
180.0,,"Leonard, Mr. Lionel",male,36.0,0.0,0.0,0.0,S,0.0,
181.0,3.0,"Sage, Miss. Constance Gladys",female,,8.0,2.0,69.55,S,0.0,
182.0,2.0,"Pernot, Mr. Rene",male,,0.0,0.0,15.05,C,0.0,
183.0,3.0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4.0,2.0,31.3875,S,0.0,
184.0,2.0,"Becker, Master. Richard F",male,1.0,2.0,1.0,39.0,S,1.0,F4
185.0,3.0,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0.0,2.0,22.025,S,1.0,
186.0,1.0,"Rood, Mr. Hugh Roscoe",male,,0.0,0.0,50.0,S,0.0,A32
187.0,3.0,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1.0,0.0,15.5,Q,1.0,
188.0,1.0,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0.0,0.0,26.55,S,1.0,
189.0,3.0,"Bourke, Mr. John",male,40.0,1.0,1.0,15.5,Q,0.0,
190.0,3.0,"Turcin, Mr. Stjepan",male,36.0,0.0,0.0,7.8958,S,0.0,
191.0,2.0,"Pinsky, Mrs. (Rosa)",female,32.0,0.0,0.0,13.0,S,1.0,
192.0,2.0,"Carbines, Mr. William",male,19.0,0.0,0.0,13.0,S,0.0,
193.0,3.0,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1.0,0.0,7.8542,S,1.0,
194.0,2.0,"Navratil, Master. Michel M",male,3.0,1.0,1.0,26.0,S,1.0,F2
195.0,1.0,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0.0,0.0,27.7208,C,1.0,B4
196.0,1.0,"Lurette, Miss. Elise",female,58.0,0.0,0.0,146.5208,C,1.0,B80
197.0,3.0,"Mernagh, Mr. Robert",male,,0.0,0.0,7.75,Q,0.0,
198.0,3.0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0.0,1.0,8.4042,S,0.0,
199.0,3.0,"Madigan, Miss. Margaret ""Maggie""",female,,0.0,0.0,7.75,Q,1.0,
200.0,2.0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0.0,0.0,13.0,S,0.0,
201.0,3.0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0.0,0.0,9.5,S,0.0,
202.0,3.0,"Sage, Mr. Frederick",male,,8.0,2.0,69.55,S,0.0,
203.0,3.0,"Johanson, Mr. Jakob Alfred",male,34.0,0.0,0.0,6.4958,S,0.0,
204.0,3.0,"Youseff, Mr. Gerious",male,45.5,0.0,0.0,7.225,C,0.0,
205.0,3.0,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0.0,0.0,8.05,S,1.0,
206.0,3.0,"Strom, Miss. Telma Matilda",female,2.0,0.0,1.0,10.4625,S,0.0,G6
207.0,3.0,"Backstrom, Mr. Karl Alfred",male,32.0,1.0,0.0,15.85,S,0.0,
208.0,3.0,"Albimona, Mr. Nassef Cassem",male,26.0,0.0,0.0,18.7875,C,1.0,
209.0,3.0,"Carr, Miss. Helen ""Ellen""",female,16.0,0.0,0.0,7.75,Q,1.0,
210.0,1.0,"Blank, Mr. Henry",male,40.0,0.0,0.0,31.0,C,1.0,A31
211.0,3.0,"Ali, Mr. Ahmed",male,24.0,0.0,0.0,7.05,S,0.0,
212.0,2.0,"Cameron, Miss. Clear Annie",female,35.0,0.0,0.0,21.0,S,1.0,
213.0,3.0,"Perkin, Mr. John Henry",,22.0,0.0,0.0,7.25,S,0.0,
214.0,2.0,"Givard, Mr. Hans Kristensen",male,30.0,0.0,0.0,,S,0.0,
215.0,3.0,"Kiernan, Mr. Philip",male,,1.0,0.0,7.75,Q,0.0,
216.0,1.0,"Newell, Miss. Madeleine",female,31.0,1.0,0.0,113.275,C,1.0,D36
217.0,3.0,"Honkanen, Miss. Eliina",female,27.0,0.0,0.0,7.925,S,1.0,
218.0,2.0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1.0,0.0,27.0,S,0.0,
219.0,,"Bazzani, Miss. Albina",female,32.0,0.0,0.0,76.2917,C,1.0,D15
220.0,2.0,"Harris, Mr. Walter",male,30.0,0.0,0.0,10.5,S,0.0,
221.0,3.0,"Sunderland, Mr. Victor Francis",male,16.0,0.0,0.0,8.05,S,1.0,
222.0,2.0,"Bracken, Mr. James H",male,27.0,0.0,0.0,13.0,S,0.0,
223.0,3.0,"Green, Mr. George Henry",male,51.0,0.0,0.0,8.05,S,0.0,
224.0,3.0,"Nenkoff, Mr. Christo",male,,0.0,0.0,7.8958,S,0.0,
225.0,1.0,"Hoyt, Mr. Frederick Maxfield",male,38.0,1.0,0.0,90.0,S,1.0,C93
226.0,3.0,"Berglund, Mr. Karl Ivar Sven",male,22.0,0.0,0.0,9.35,S,0.0,
227.0,2.0,"Mellors, Mr. William John",male,19.0,0.0,0.0,10.5,S,1.0,
228.0,3.0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0.0,0.0,7.25,S,0.0,
229.0,2.0,"Fahlstrom, Mr. Arne Jonas",male,18.0,0.0,0.0,13.0,S,0.0,
230.0,3.0,"Lefebre, Miss. Mathilde",female,,3.0,1.0,25.4667,S,0.0,
231.0,1.0,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1.0,0.0,83.475,S,1.0,C83
232.0,3.0,"Larsson, Mr. Bengt Edvin",male,29.0,0.0,0.0,7.775,S,0.0,
233.0,2.0,"Sjostedt, Mr. Ernst Adolf",male,59.0,0.0,0.0,13.5,S,0.0,
234.0,3.0,"Asplund, Miss. Lillian Gertrud",female,5.0,4.0,2.0,31.3875,S,1.0,
235.0,2.0,"Leyson, Mr. Robert William Norman",male,24.0,0.0,0.0,10.5,S,0.0,
236.0,3.0,"Harknett, Miss. Alice Phoebe",female,,0.0,0.0,7.55,S,0.0,
237.0,2.0,"Hold, Mr. Stephen",male,44.0,1.0,0.0,26.0,S,0.0,
238.0,2.0,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0.0,2.0,26.25,S,1.0,
239.0,2.0,"Pengelly, Mr. Frederick William",male,19.0,0.0,0.0,10.5,S,0.0,
240.0,2.0,"Hunt, Mr. George Henry",male,33.0,0.0,0.0,12.275,S,0.0,
241.0,3.0,"Zabour, Miss. Thamine",female,,1.0,0.0,14.4542,C,0.0,
242.0,3.0,"Murphy, Miss. Katherine ""Kate""",female,,1.0,0.0,15.5,Q,1.0,
243.0,2.0,"Coleridge, Mr. Reginald Charles",male,29.0,0.0,0.0,10.5,S,0.0,
244.0,3.0,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0.0,0.0,7.125,S,0.0,
245.0,3.0,"Attalah, Mr. Sleiman",male,30.0,0.0,0.0,7.225,C,0.0,
246.0,1.0,"Minahan, Dr. William Edward",male,44.0,2.0,0.0,90.0,Q,0.0,C78
247.0,3.0,"Lindahl, Miss. Agda Thorilda Viktoria",female,,0.0,,7.775,,0.0,
248.0,2.0,"Hamalainen, Mrs. William (Anna)",female,24.0,0.0,2.0,14.5,S,1.0,
249.0,1.0,"Beckwith, Mr. Richard Leonard",male,37.0,1.0,1.0,52.5542,S,1.0,D35
250.0,2.0,"Carter, Rev. Ernest Courtenay",male,54.0,1.0,0.0,26.0,S,0.0,
251.0,3.0,"Reed, Mr. James George",male,,0.0,0.0,7.25,S,0.0,
252.0,3.0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1.0,1.0,10.4625,S,0.0,G6
253.0,1.0,"Stead, Mr. William Thomas",male,62.0,0.0,0.0,26.55,S,0.0,C87
254.0,3.0,"Lobb, Mr. William Arthur",male,30.0,1.0,0.0,16.1,S,0.0,
255.0,3.0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0.0,2.0,20.2125,S,0.0,
256.0,3.0,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0.0,2.0,15.2458,C,1.0,
257.0,1.0,"Thorne, Mrs. Gertrude Maybelle",female,,0.0,0.0,79.2,C,1.0,
258.0,1.0,"Cherry, Miss. Gladys",female,30.0,0.0,0.0,86.5,S,1.0,B77
259.0,1.0,"Ward, Miss. Anna",female,35.0,0.0,0.0,512.3292,C,1.0,
260.0,2.0,"Parrish, Mrs. (Lutie Davis)",female,50.0,0.0,1.0,26.0,S,1.0,
261.0,3.0,"Smith, Mr. Thomas",male,,0.0,0.0,7.75,Q,0.0,
262.0,3.0,"Asplund, Master. Edvin Rojj Felix",male,3.0,4.0,2.0,31.3875,S,1.0,
263.0,1.0,"Taussig, Mr. Emil",male,52.0,1.0,1.0,79.65,S,0.0,E67
264.0,1.0,"Harrison, Mr. William",male,40.0,0.0,0.0,0.0,S,0.0,B94
265.0,3.0,"Henry, Miss. Delia",female,,0.0,0.0,7.75,Q,0.0,
266.0,2.0,"Reeves, Mr. David",male,36.0,0.0,0.0,10.5,S,0.0,
267.0,3.0,"Panula, Mr. Ernesti Arvid",male,16.0,4.0,1.0,39.6875,S,0.0,
268.0,3.0,"Persson, Mr. Ernst Ulrik",male,25.0,1.0,0.0,7.775,S,1.0,
